"Country, Other",Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceeding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population
Russia,281305,272147,3.0,1926,8276,7938,4.0,57,146018963
UK,245052,281168,-13.0,3584,1173,1099,7.0,17,68367364
Germany,172611,131880,31.0,2051,800,465,72.0,10,84145628
Ukraine,153131,152897,0.2,3530,4355,3857,13.0,100,43378803
Poland,78963,52327,51.0,2089,758,552,37.0,20,37790630
Netherlands,68958,49489,39.0,4012,150,97,55.0,9,17186062
Romania,58851,86103,-32.0,3087,2901,3058,-5.0,152,19064310
Czechia,53152,33393,59.0,4951,243,149,63.0,23,10735806
Austria,52906,32375,63.0,5829,145,106,37.0,16,9075760
France,50607,41009,23.0,773,227,216,5.0,3,65468526
Belgium,46581,50270,-7.0,3996,123,147,-16.0,11,11657712
Greece,42734,25812,66.0,4127,357,310,15.0,34,10354278
Serbia,40276,44540,-10.0,4635,450,446,1.0,52,8689831
Italy,36082,30780,17.0,598,291,274,6.0,5,60341753
Slovakia,34862,27335,28.0,6381,195,131,49.0,36,5463213
Croatia,30979,25023,24.0,7610,280,182,54.0,69,4071065
Bulgaria,30270,33049,-8.0,4401,1075,926,16.0,156,6877774
Hungary,28745,19594,47.0,2986,455,237,92.0,47,9627220
Ireland,23792,15717,51.0,4747,56,67,-16.0,11,5012190
Slovenia,20128,15938,26.0,9680,85,62,37.0,41,2079324
Lithuania,18391,20506,-10.0,6886,231,244,-5.0,86,2670951
Switzerland,14892,10144,47.0,1704,43,41,5.0,5,8740037
Denmark,14778,11369,30.0,2539,24,15,60.0,4,5819739
Belarus,13759,13934,-1.0,1457,114,116,-2.0,12,9445126
Latvia,12685,16566,-23.0,6827,246,225,9.0,132,1858017
Spain,11581,13336,-13.0,248,108,228,-53.0,2,46779233
Estonia,11127,11931,-7.0,8380,79,70,13.0,59,1327740
Norway,9575,6763,42.0,1748,22,6,267.0,4,5478446
Moldova,8196,9768,-16.0,2038,309,293,5.0,77,4021300
Portugal,6906,5513,25.0,680,46,24,92.0,5,10156551
Finland,4945,4375,13.0,891,26,19,37.0,5,5552342
Montenegro,4265,3392,26.0,6790,45,38,18.0,72,628173
Albania,3825,3604,6.0,1331,31,50,-38.0,11,2873553
North Macedonia,3525,2786,27.0,1692,100,81,23.0,48,2083258
Sweden,3466,5920,-41.0,340,10,20,-50.0,1,10184260
Bosnia and Herzegovina,3355,5083,-34.0,1031,151,201,-25.0,46,3253249
Luxembourg,1159,1080,7.0,1812,6,1,500.0,9,639707
Channel Islands,614,476,29.0,3488,0,1,-100.0,0,176025
Iceland,583,605,-4.0,1694,1,0,100.0,3,344232
Faeroe Islands,470,530,-11.0,9570,3,0,300.0,61,49114
Isle of Man,279,494,-44.0,3258,3,0,300.0,35,85640
Malta,251,102,146.0,566,1,1,0.0,2,443131
Gibraltar,161,118,36.0,4781,0,0,0.0,0,33677
Andorra,102,112,-9.0,1317,0,0,0.0,0,77432
Liechtenstein,81,47,72.0,2116,0,1,-100.0,0,38276
San Marino,60,34,76.0,1763,0,1,-100.0,0,34027
Monaco,21,27,-22.0,530,0,0,0.0,0,39617
