data,casosAcumulados,casosNovos,descartados,recuperados,obitosAcumulados,obitosNovos,Letalidade,estado
2021-09-26,441155,134,484336,333751,9294,2.0,0.0211,PB
2021-09-25,441021,165,484331,333441,9292,2.0,0.0211,PB
2021-09-24,440856,225,484301,332845,9290,3.0,0.0211,PB
2021-09-23,440631,203,484276,332540,9287,3.0,0.0211,PB
2021-09-22,440428,297,484265,331958,9284,6.0,0.0211,PB
2021-09-21,440131,25,484238,331659,9278,1.0,0.0211,PB
2021-09-20,440106,39,484225,331619,9277,6.0,0.0211,PB
2021-09-19,440067,168,484224,331604,9271,3.0,0.0211,PB
2021-09-18,439899,3144,484234,331213,9268,4.0,0.0211,PB
2021-09-17,436755,32,483136,326185,9264,5.0,0.0212,PB
2021-09-16,436723,78,483105,326174,9259,6.0,0.0212,PB
2021-09-15,436645,16,483073,326167,9253,3.0,0.0212,PB
2021-09-14,436629,26,483045,326155,9250,4.0,0.0212,PB
2021-09-13,436603,33,483024,326135,9246,6.0,0.0212,PB
2021-09-12,436570,10,483015,326124,9240,7.0,0.0212,PB
2021-09-11,436560,16,483007,326114,9233,2.0,0.0211,PB
2021-09-10,436544,16,482970,326099,9231,1.0,0.0211,PB
2021-09-09,436528,187,482952,326089,9230,6.0,0.0211,PB
2021-09-08,436341,243,482600,325735,9224,4.0,0.0211,PB
2021-09-07,436098,276,481824,324921,9220,3.0,0.0211,PB
2021-09-06,435822,93,481503,324791,9217,5.0,0.0211,PB
2021-09-05,435729,356,481295,324779,9212,4.0,0.0211,PB
2021-09-04,435373,573,480586,324051,9208,5.0,0.0211,PB
2021-09-03,434800,630,479372,323045,9203,4.0,0.0212,PB
2021-09-02,434170,441,478348,322082,9199,9.0,0.0212,PB
2021-09-01,433729,407,477558,321176,9190,4.0,0.0212,PB
2021-08-31,433322,152,476451,320148,9186,4.0,0.0212,PB
2021-08-30,433170,158,476152,319839,9182,6.0,0.0212,PB
2021-08-29,433012,278,475764,319732,9176,5.0,0.0212,PB
2021-08-28,432734,384,475075,319091,9171,6.0,0.0212,PB
2021-08-27,432350,353,474103,317975,9165,5.0,0.0212,PB
2021-08-26,431997,907,473209,317250,9160,6.0,0.0212,PB
2021-08-25,431090,96,470764,315339,9154,5.0,0.0212,PB
2021-08-24,430994,264,470701,315228,9149,4.0,0.0212,PB
2021-08-23,430730,120,470179,315028,9145,8.0,0.0212,PB
2021-08-22,430610,299,469857,314998,9137,2.0,0.0212,PB
2021-08-21,430311,450,469063,314036,9135,5.0,0.0212,PB
2021-08-20,429861,431,467909,313265,9130,7.0,0.0212,PB
2021-08-19,429430,560,466776,312400,9123,8.0,0.0212,PB
2021-08-18,428870,630,465693,311700,9115,7.0,0.0213,PB
2021-08-17,428240,251,464114,310912,9108,10.0,0.0213,PB
2021-08-16,427989,104,463663,310650,9098,5.0,0.0213,PB
2021-08-15,427885,374,463416,304724,9093,4.0,0.0213,PB
2021-08-14,427511,442,462333,304713,9089,3.0,0.0213,PB
2021-08-13,427069,449,461264,303056,9086,4.0,0.0213,PB
2021-08-12,426620,422,460215,301889,9082,6.0,0.0213,PB
2021-08-11,426198,579,459085,300989,9076,5.0,0.0213,PB
2021-08-10,425619,194,457892,299497,9071,6.0,0.0213,PB
2021-08-09,425425,121,457526,299326,9065,8.0,0.0213,PB
